3351,3068
3371,3012
3417,2924
3488,2838
3562,2777
3672,2711
3891,2615
4145,2530
4390,2463
4645,2412
4917,2384
5125,2384
5405,2409
5417,2431
5429,2416
5481,2418
5504,2423
5529,2438
5553,2470
5562,2514
5509,2677
5472,2759
5427,2836
5391,2884
5346,2933
5268,2996
5210,3030
5137,3061
5093,3075
5047,3086
5001,3094
4908,3104
4781,3108
4752,3117
4727,3146
4696,3423
4635,3661
4629,3697
4650,3737
4784,3795
4868,3836
4947,3886
5019,3944
5042,3968
5084,4020
5120,4076
5161,4167
5184,4254
5193,4312
5200,4440
5196,4554
5181,4597
5147,4628
5108,4638
5041,4626
5028,4602
5020,4614
4768,4555
4563,4482
4296,4354
4152,4268
3843,4052
3630,3878
3501,3754
3416,3652
3366,3571
3331,3483
3311,3374
3310,3295
3324,3197
3347,3184
3334,3174
