-77170,43858
-77165,43866
-77208,43894
-77274,43937
-77342,44006
-77432,44088
-77461,44107
-77498,44142
-77580,44196
-77679,44249
-77821,44269
-77973,44272
-77974,44272
-78059,44233
-78165,44105
-78245,43984
-78344,43905
-78393,43883
-78416,43869
-78473,43847
-78511,43830
-78528,43787
-78533,43776
-78536,43756
-78645,43589
-78646,43587
-78673,43547
-78699,43535
-78711,43524
-78725,43523
-78739,43518
-78765,43523
-78783,43523
-78805,43531
-78845,43539
-78874,43556
-78909,43569
-79177,43743
-79258,43820
-79285,43849
-79286,43850
-79343,43911
-79365,43949
-79374,43955
-79373,43962
-79421,44045
-79422,44046
-79422,44047
-79467,44123
-79483,44157
-79515,44214
-79515,44222
-79518,44228
-79524,44255
-79524,44255
-79532,44261
-79537,44287
-79538,44288
-79544,44316
-79561,44327
-79549,44343
-79550,44344
-79561,44363
-79565,44374
-79573,44382
-79573,44391
-79575,44396
-79589,44464
-79590,44465
-79590,44465
-79608,44548
-79650,44648
-79662,44667
-79672,44720
-79674,44722
-79679,44750
-79702,44789
-79699,44811
-79699,44820
-79702,44825
-79712,44902
-79701,44928
-79701,44955
-79701,44956
-79709,44961
-79718,44977
-79721,44980
-79722,44982
-79732,44999
-79746,45032
-79745,45037
-79749,45046
-79749,45072
-79762,45113
-79781,45162
-79789,45202
-79790,45204
-79863,45550
-79863,45578
-79875,45605
-79886,45624
-79910,45735
-79910,45739
-79927,45818
-79926,45825
-79930,45832
-79939,45873
-79938,45880
-79942,45887
-79954,45942
-79958,45958
-79974,46003
-80009,46133
-80020,46186
-80076,46213
-80206,46142
-80221,46131
-80274,46091
-80289,46084
-80313,46069
-80370,46049
-80376,46046
-80404,46020
-80422,46009
-80423,46009
-80427,46006
-80462,45987
-80506,45965
-80514,45961
-80515,45960
-80567,45935
-80604,45930
-80622,45924
-80708,45920
-80799,45925
-80847,45927
-80913,45934
-80997,45953
-81014,45960
-81027,45961
-81051,45976
-81052,45977
-81094,46004
-81144,46017
-81174,46018
-81196,46017
-81211,46009
-81254,46030
-81325,46035
-81385,45979
-81329,45811
-81155,45507
-81076,45336
-81098,45310
-81097,45303
-81108,45298
-81122,45283
-81149,45282
-81178,45271
-81272,45273
-81309,45285
-81311,45286
-81467,45340
-81511,45359
-81523,45364
-81528,45367
-81578,45389
-81810,45527
-81860,45572
-81863,45574
-81865,45576
-81908,45615
-81970,45703
-82001,45755
-82035,45805
-82071,45874
-82095,45915
-82307,46304
-82321,46337
-82427,46394
-82550,46426
-82652,46397
-82701,46377
-82718,46369
-82779,46347
-82822,46281
-82819,46232
-82802,46083
-82772,45938
-82749,45863
-82735,45789
-82719,45725
-82710,45658
-82695,45578
-82680,45473
-82690,45384
-82691,45372
-82698,45318
-82711,45243
-82719,45212
-82719,45211
-82716,45198
-82732,45101
-82740,45056
-82742,45048
-82743,45044
-82753,44995
-82777,44939
-82782,44895
-82778,44854
-82655,44705
-82534,44579
-82422,44458
-82371,44388
-82352,44365
-82280,44264
-82230,44202
-82180,44134
-82129,44029
-82078,43924
-82094,43899
-82080,43902
-82072,43896
-82066,43905
-82044,43902
-82030,43905
-82022,43900
-82016,43908
-82002,43911
-81994,43905
-81980,43908
-81958,43906
-81953,43914
-81939,43917
-81930,43912
-81919,43929
-81903,43918
-81883,43929
-81875,43923
-81847,43929
-81839,43924
-81820,43935
-81803,43924
-81792,43941
-81775,43930
-81770,43939
-81725,43933
-81720,43942
-81706,43945
-81698,43939
-81656,43948
-81634,43946
-81606,43951
-81598,43946
-81570,43952
-81562,43946
-81520,43955
-81512,43950
-81501,43967
-81493,43961
-81457,43962
-81448,43956
-81421,43962
-81412,43956
-81393,43968
-81385,43962
-81371,43965
-81348,43963
-81335,43966
-81318,43955
-81307,43972
-81290,43961
-81263,43966
-81257,43975
-81235,43972
-81229,43981
-81213,43970
-81193,43981
-81166,43987
-81157,43982
-81130,43987
-81107,43985
-81102,43993
-81080,43991
-81063,43980
-81052,43997
-81035,43986
-81013,43983
-80999,43986
-80991,43981
-80963,43987
-80955,43981
-80933,43979
-80927,43987
-80910,43976
-80905,43984
-80883,43982
-80852,43974
-80838,43977
-80830,43971
-80802,43977
-80777,43961
-80749,43967
-80733,43956
-80710,43953
-80705,43962
-80680,43945
-80666,43948
-80658,43943
-80644,43946
-80610,43924
-80588,43921
-80487,43856
-80484,43842
-80434,43810
-80431,43796
-80423,43790
-80412,43771
-80361,43738
-80355,43711
-80322,43689
-80327,43680
-80319,43675
-80316,43661
-80282,43639
-80280,43625
-80268,43606
-80251,43595
-80246,43568
-80229,43557
-80223,43529
-80206,43518
-80203,43504
-80195,43499
-80184,43480
-80167,43469
-80172,43460
-80161,43441
-80153,43435
-80133,43411
-80138,43402
-80113,43386
-80107,43358
-80082,43342
-80076,43314
-80068,43309
-80065,43295
-80048,43284
-80037,43265
-80034,43251
-80017,43240
-79983,43182
-79980,43168
-79972,43163
-79969,43149
-79958,43130
-79955,43116
-79946,43111
-79943,43097
-79935,43091
-79926,43050
-79907,43025
-79881,43009
-79892,42992
-79876,42981
-79870,42953
-79861,42948
-79858,42934
-79847,42915
-79841,42887
-79824,42876
-79822,42862
-79810,42843
-79807,42829
-79799,42824
-79788,42804
-79779,42799
-79776,42785
-79768,42780
-79765,42766
-79754,42747
-79737,42736
-79742,42727
-79734,42722
-79731,42708
-79723,42703
-79720,42689
-79708,42669
-79692,42659
-79689,42645
-79680,42639
-79677,42625
-79669,42620
-79666,42606
-79649,42595
-79638,42576
-79635,42562
-79602,42540
-79599,42526
-79590,42521
-79587,42507
-79503,42453
-79481,42450
-79473,42445
-79459,42448
-79350,42377
-79336,42380
-79303,42358
-79280,42355
-79180,42290
-79158,42287
-79141,42277
-79127,42279
-79093,42258
-79080,42261
-79054,42244
-79041,42247
-79016,42231
-78993,42228
-78977,42217
-78954,42215
-78938,42204
-78932,42212
-78915,42201
-78893,42199
-78885,42193
-78871,42196
-78854,42185
-78824,42177
-78810,42180
-78793,42170
-78779,42172
-78757,42170
-78743,42173
-78735,42167
-78712,42165
-78707,42173
-78690,42162
-78668,42160
-78654,42163
-78621,42141
-78598,42138
-78585,42141
-78568,42130
-78540,42136
-78490,42104
-78484,42112
-78451,42090
-78445,42099
-78429,42088
-78423,42096
-78406,42085
-78393,42088
-78384,42083
-78370,42086
-78345,42069
-78331,42072
-78315,42061
-78301,42064
-78292,42059
-78287,42067
-78270,42056
-78256,42059
-78248,42054
-78226,42051
-78041,41931
-78027,41934
-78033,41926
-77999,41904
-77994,41912
-77986,41907
-77972,41910
-77966,41918
-77958,41913
-77952,41921
-77933,41932
-77873,42025
-77865,42019
-77816,42095
-77819,42109
-77780,42167
-77783,42181
-77762,42215
-77765,42228
-77743,42262
-77751,42267
-77735,42293
-77738,42306
-77727,42323
-77730,42337
-77708,42370
-77711,42384
-77694,42409
-77692,42432
-77676,42457
-77679,42471
-77673,42479
-77671,42501
-77665,42510
-77663,42532
-77652,42549
-77655,42562
-77638,42588
-77630,42618
-77619,42635
-77622,42649
-77606,42674
-77603,42696
-77593,42713
-77585,42744
-77574,42760
-77577,42774
-77566,42791
-77569,42805
-77547,42838
-77550,42852
-77539,42869
-77536,42891
-77515,42925
-77517,42938
-77507,42955
-77493,42994
-77477,43019
-77472,43064
-77439,43114
-77442,43128
-77431,43145
-77429,43167
-77401,43209
-77399,43231
-77385,43270
-77358,43312
-77353,43356
-77326,43398
-77321,43443
-77288,43493
-77283,43537
-77250,43588
-77248,43610
-77234,43649
-77223,43666
-77229,43693
-77207,43727
-77202,43771
-77192,43788
-77178,43827
